ProductID,ProductName,Category,Price
1,"Product_1","Books",154.82
2,"Product_2","Electronics",690.42
3,"Product_3","Books",127.51
4,"Product_4","Electronics",135.32
5,"Product_5","Books",704.83
6,"Product_6","Electronics",616.98
7,"Product_7","Books",7.58
8,"Product_8","Electronics",224.05
9,"Product_9","Books",72.33
10,"Product_10","Electronics",751.01
11,"Product_11","Books",368.74
12,"Product_12","Electronics",765.41
13,"Product_13","Books",74.68
14,"Product_14","Electronics",200.56
15,"Product_15","Books",921.02
16,"Product_16","Electronics",4.72
17,"Product_17","Books",472.15
18,"Product_18","Electronics",659.70
19,"Product_19","Books",60.15
20,"Product_20","Electronics",398.11
21,"Product_21","Books",570.74
22,"Product_22","Electronics",753.10
23,"Product_23","Books",418.03
24,"Product_24","Electronics",553.97
25,"Product_25","Books",229.17
26,"Product_26","Electronics",377.46
27,"Product_27","Books",348.93
28,"Product_28","Electronics",575.08
29,"Product_29","Books",840.00
30,"Product_30","Electronics",52.65
31,"Product_31","Books",925.51
32,"Product_32","Electronics",93.02
33,"Product_33","Books",499.46
34,"Product_34","Electronics",71.91
35,"Product_35","Books",280.60
36,"Product_36","Electronics",201.56
37,"Product_37","Books",263.55
38,"Product_38","Electronics",773.25
39,"Product_39","Books",96.90
40,"Product_40","Electronics",803.05
41,"Product_41","Books",672.19
42,"Product_42","Electronics",26.86
43,"Product_43","Books",837.66
44,"Product_44","Electronics",477.21
45,"Product_45","Books",478.99
46,"Product_46","Electronics",705.69
47,"Product_47","Books",148.99
48,"Product_48","Electronics",981.37
49,"Product_49","Books",662.65
50,"Product_50","Electronics",319.81
51,"Product_51","Books",923.29
52,"Product_52","Electronics",809.54
53,"Product_53","Books",562.55
54,"Product_54","Electronics",623.29
55,"Product_55","Books",280.10
56,"Product_56","Electronics",650.91
57,"Product_57","Books",649.02
58,"Product_58","Electronics",772.96
59,"Product_59","Books",5.87
60,"Product_60","Electronics",0.09
61,"Product_61","Books",755.42
62,"Product_62","Electronics",779.05
63,"Product_63","Books",771.19
64,"Product_64","Electronics",690.57
65,"Product_65","Books",90.40
66,"Product_66","Electronics",264.79
67,"Product_67","Books",76.59
68,"Product_68","Electronics",730.12
69,"Product_69","Books",218.09
70,"Product_70","Electronics",272.15
71,"Product_71","Books",845.18
72,"Product_72","Electronics",853.82
73,"Product_73","Books",302.20
74,"Product_74","Electronics",566.10
75,"Product_75","Books",462.33
76,"Product_76","Electronics",636.06
77,"Product_77","Books",878.24
78,"Product_78","Electronics",408.38
79,"Product_79","Books",628.80
80,"Product_80","Electronics",672.63
81,"Product_81","Books",4.95
82,"Product_82","Electronics",663.48
83,"Product_83","Books",792.82
84,"Product_84","Electronics",387.14
85,"Product_85","Books",889.01
86,"Product_86","Electronics",602.49
87,"Product_87","Books",331.44
88,"Product_88","Electronics",57.87
89,"Product_89","Books",722.63
90,"Product_90","Electronics",59.25
91,"Product_91","Books",221.94
92,"Product_92","Electronics",653.71
93,"Product_93","Books",66.84
94,"Product_94","Electronics",900.95
95,"Product_95","Books",73.78
96,"Product_96","Electronics",35.09
97,"Product_97","Books",529.17
98,"Product_98","Electronics",908.98
99,"Product_99","Books",489.19
100,"Product_100","Electronics",523.22
